t;u;w;q [graus/s];theta [graus]
52;49.6858;2.45988;-0.828178;9.93204
52.1;49.5887;2.46411;-0.84445;9.84842
52.2;49.4934;2.46827;-0.860449;9.76318
52.3;49.3998;2.47235;-0.876172;9.67635
52.4;49.308;2.47636;-0.891615;9.58797
52.5;49.218;2.4803;-0.906775;9.49805
52.6;49.1298;2.48415;-0.921647;9.40664
52.7;49.0434;2.48793;-0.936229;9.31375
52.8;48.9588;2.49163;-0.950517;9.21942
52.9;48.8762;2.49525;-0.964508;9.12367
53;48.7954;2.49879;-0.978198;9.02654
53.1;48.7165;2.50225;-0.991585;8.92805
53.2;48.6395;2.50563;-1.00467;8.82824
53.3;48.5645;2.50892;-1.01744;8.72714
53.4;48.4914;2.51213;-1.0299;8.62478
53.5;48.4203;2.51526;-1.04204;8.52119
53.6;48.3512;2.5183;-1.05387;8.41639
53.7;48.284;2.52125;-1.06537;8.31044
53.8;48.2189;2.52412;-1.07656;8.20334
53.9;48.1558;2.52691;-1.08741;8.09515
54;48.0948;2.5296;-1.09795;7.98588
54.1;48.0358;2.53221;-1.10815;7.87558
54.2;47.9788;2.53473;-1.11802;7.76427
54.3;47.924;2.53716;-1.12756;7.652
54.4;47.8712;2.5395;-1.13676;7.53878
54.5;47.8205;2.54176;-1.14563;7.42466
54.6;47.7719;2.54392;-1.15415;7.30968
54.7;47.7255;2.54599;-1.16234;7.19385
54.8;47.6811;2.54797;-1.17018;7.07723
54.9;47.6389;2.54986;-1.17769;6.95984
55;47.5988;2.55166;-1.18484;6.84171
55.1;47.5609;2.55336;-1.19166;6.72288
55.2;47.5251;2.55498;-1.19812;6.6034
55.3;47.4914;2.5565;-1.20424;6.48328
55.4;47.4599;2.55793;-1.21001;6.36257
55.5;47.4306;2.55926;-1.21543;6.24129
55.6;47.4034;2.56051;-1.2205;6.1195
55.7;47.3784;2.56166;-1.22522;5.99721
55.8;47.3555;2.56272;-1.22959;5.87447
55.9;47.3348;2.56368;-1.23361;5.75131
56;47.3163;2.56455;-1.23728;5.62776
56.1;47.3;2.56533;-1.24059;5.50387
56.2;47.2858;2.56601;-1.24355;5.37966
56.3;47.2738;2.56661;-1.24616;5.25517
56.4;47.2639;2.5671;-1.24842;5.13044
56.5;47.2562;2.56751;-1.25033;5.0055
56.6;47.2507;2.56782;-1.25188;4.88039
56.7;47.2473;2.56804;-1.25309;4.75514
56.8;47.2461;2.56817;-1.25394;4.62978
